,I/P Voltage(P-P) (V),O/P Voltage(P-N) (V),O/P Current (A),Battery Voltage (V),Room Temp (deg C),Battery temp (deg C)
0,399.0,397.0,9.3,267.7,27.2,29.5
1,398.0,396.0,9.4,269.0,25.2,25.4
2,388.0,396.0,9.9,271.0,24.0,25.7
3,389.0,396.0,8.2,271.9,23.4,24.5
4,400.0,396.0,8.8,271.9,22.4,24.5
5,391.0,399.0,9.9,271.0,27.1,28.4
6,402.0,399.0,9.2,267.8,24.5,25.2
7,413.0,398.0,9.6,271.1,24.2,26.5
8,407.0,396.0,9.9,272.0,22.1,24.5
9,391.0,399.0,9.8,270.4,26.8,28.9
10,404.0,396.0,14.2,272.0,24.1,28.2
